grain_ID,grain_R,grain_asp_small,grain_asp,KDE_radius,KDE_radius frequency,KDE_grainasp,KDE_asp,Volume
1,6.198661324,0.359010037,2.785437442,-0.340118503,8.2082E-05,0.094135573,0.865134133,-0.164808416
2,8.200058163,0.215557141,4.639141128,0.80621085,0.000713859,0.103961557,0.920479927,2.195000003
3,4.383115457,0.664498938,1.504893301,1.952540203,0.003457141,0.11378754,0.975825722,31.18089406
4,5.368198176,0.465571058,2.147899839,3.098869556,0.009840135,0.123613524,1.031171517,124.6517832
5,6.498585161,0.315731282,3.167250305,4.245198909,0.017861048,0.133439507,1.086517312,320.4665767
6,5.368198176,0.465571058,2.147899839,5.391528262,0.023568733,0.143265491,1.141863106,656.4841841
7,4.383115457,0.664498938,1.504893301,6.537857615,0.026490318,0.153091474,1.197208901,1170.563515
8,4.604469339,0.739474591,1.352311508,7.684186968,0.028455266,0.162917458,1.252554696,1900.563478
9,5.368198176,0.465571058,2.147899839,8.830516321,0.03048036,0.172743441,1.30790049,2884.342983
10,4.383115457,0.664498938,1.504893301,9.976845674,0.032663357,0.182569425,1.363246285,4159.76094
11,4.383115457,0.664498938,1.504893301,11.12317503,0.03455715,0.192395408,1.41859208,5764.676262
12,6.930314045,0.293420312,3.40808035,12.26950438,0.035827948,0.202221392,1.473937875,7736.947845
13,4.383115457,0.664498938,1.504893301,13.41583373,0.036759672,0.212047375,1.529283669,10114.43461
14,8.479533845,0.461345154,2.167574517,14.56216309,0.037576002,0.221873359,1.584629464,12934.99548
15,7.37149215,0.504687392,1.981424573,15.70849244,0.03817107,0.231699342,1.639975259,16236.48933
16,7.37149215,0.504687392,1.981424573,16.85482179,0.038385731,0.241525326,1.695321053,20056.77508
17,7.37149215,0.565305554,1.768954848,18.00115114,0.037928401,0.251351309,1.750666848,24433.71165
18,8.576164506,0.349745708,2.859220218,19.1474805,0.036774328,0.261177293,1.806012643,29405.15798
19,7.37149215,0.565305554,1.768954848,20.29380985,0.035293146,0.271003276,1.861358437,35008.97291
20,8.576164506,0.343682261,2.909664285,21.4401392,0.033514112,0.28082926,1.916704232,41283.01538
21,9.953488961,0.323976511,3.086643522,22.58646856,0.031433168,0.290655243,1.972050027,48265.14436
22,5.55040435,0.791095807,1.264069398,23.73279791,0.029358932,0.300481226,2.027395822,55993.21865
23,5.786111995,0.491390014,2.035043391,24.87912726,0.02731503,0.31030721,2.082741616,64505.09721
24,14.74463933,0.301575757,3.315916401,26.02545662,0.025189593,0.320133193,2.138087411,73838.63903
25,9.010898577,0.689673115,1.449962277,27.17178597,0.023066665,0.329959177,2.193433206,84031.70286
26,7.258842409,0.873726766,1.144522566,28.31811532,0.021016465,0.33978516,2.248779,95122.14769
27,9.282773569,0.716148452,1.396358531,29.46444467,0.018982006,0.349611144,2.304124795,107147.8324
28,10.92325063,0.614847296,1.6264201,30.61077403,0.017044895,0.359437127,2.35947059,120146.6161
29,11.65786451,0.555152991,1.801305254,31.75710338,0.015392006,0.369263111,2.414816385,134156.3574
30,15.89154949,0.284289795,3.517537451,32.90343273,0.013947065,0.379089094,2.470162179,149214.9153
31,18.08634686,0.243967767,4.098902139,34.04976209,0.012511729,0.388915078,2.525507974,165360.1489
32,10.49014426,0.635073344,1.574621277,35.19609144,0.011123739,0.398741061,2.580853769,182629.9168
33,14.17302198,0.718108246,1.392547719,36.34242079,0.0098979,0.408567045,2.636199563,201062.0781
34,13.78054309,0.360984602,2.770201259,37.48875015,0.008778496,0.418393028,2.691545358,220694.4918
35,16.46599353,0.422909124,2.364574191,38.6350795,0.007752622,0.428219012,2.746891153,241565.0166
36,12.14500277,0.797176462,1.254427404,39.78140885,0.006936386,0.438044995,2.802236947,263711.5114
37,3.989422804,0.553083809,1.80804425,40.9277382,0.00631012,0.447870979,2.857582742,287171.8352
38,19.35406045,0.530779082,1.884023004,42.07406756,0.005678223,0.457696962,2.912928537,311983.8472
39,18.68310229,0.588505014,1.699220866,43.22039691,0.004978322,0.467522946,2.968274332,338185.4058
40,9.356025796,0.740845483,1.349809135,44.36672626,0.004358465,0.477348929,3.023620126,365814.3701
41,16.89367733,0.537995976,1.858749961,45.51305562,0.003861093,0.487174913,3.078965921,394908.5993
42,20.47712631,0.368160334,2.716207882,46.65938497,0.003440094,0.497000896,3.134311716,425505.9517
