grain_R,grain_asp
11.493539,1.2174742
38.55795,1.9006608
16.707525,1.7352002
41.400093,2.132454
7.9606104,0.664594
35.50087,2.6511614
17.123457,1.3524144
22.059797,2.0835116
28.803955,2.1481357
12.902729,1.2469141
27.662481,2.8217988
13.155228,0.8186857
27.15553,1.5412321
9.820169,1.1938462
23.778637,1.7032251
29.743898,2.0320344
33.048096,2.4196177
33.96058,2.2036955
39.52836,2.3420205
30.461397,3.339828
13.954488,1.4402511
43.34423,3.056367
10.416456,1.1689919
19.97921,2.1036654
40.633186,2.542466
53.237076,4.1423225
21.01235,1.729106
26.529356,2.2591004
47.016106,2.9361982
43.260757,2.710974
30.900534,2.5379677
37.125614,2.1663203
32.38955,3.2613926
31.779783,1.7023044
30.821768,2.533606
19.559055,1.8898034
26.079313,1.9585717
14.071106,1.4864271
20.171389,2.0649257
37.581955,2.449788
35.95139,2.1796713
18.053846,1.5965819
27.156078,1.6671464
16.421497,1.8845351
29.714848,2.120032
35.78354,2.9982538
36.540253,2.2305768
22.51727,1.1530268
32.436386,2.7622938
23.729008,1.7505469
23.554209,2.083437
31.291925,1.7953157
13.939807,1.4743197
30.492172,2.2619452
26.01306,1.774404
22.776316,1.9044156
17.175978,1.2847161
28.920004,2.5382624
39.44249,2.5194218
20.526638,2.0527706
22.678625,1.7026703
22.993584,1.8004136
23.941095,2.1106892
29.555553,1.6546535
31.253635,2.5201082
18.66812,1.764502
12.300652,1.4116209
21.90618,2.158781
33.780975,2.0801833
22.528513,1.5078294
28.364204,2.094792
35.54608,2.3030334
30.687906,1.6017463
36.40692,1.8887646
21.248705,2.2845604
31.88032,2.3204618
17.582388,1.3200259
13.958067,1.3939211
18.372236,2.1578782
31.026627,1.5864329
29.91292,2.3312187
21.034163,1.9244702
26.21055,2.2989776
41.962456,3.396616
40.91663,2.9510288
16.211697,1.6195431
29.586866,2.5347037
24.777338,2.1356227
37.30983,2.5006826
26.987276,2.132771
16.33481,1.1971807
19.568338,1.9097743
16.262062,1.7457609
29.766047,1.9631853
30.565123,1.720079
23.831314,1.7641966
33.718918,1.9971881
25.087297,1.5380573
43.15667,3.3906822
11.542914,1.0051582
24.7008,1.9985578
28.232775,2.877828
58.42713,2.5871806
10.006065,0.9918504
24.539785,2.5306425
38.70099,2.2791486
28.254791,2.3017282
31.616167,2.1221387
27.801481,1.6628175
36.02726,2.2119164
21.603392,1.6247253
15.493788,1.1909585
26.166271,1.5961375
15.385822,1.2837365
37.28257,1.8572304
19.525305,1.7731922
17.64086,1.429903
20.005419,1.5911422
25.993416,1.4055638
16.811672,1.9425945
46.81249,2.4502501
13.072008,1.3901851
31.143362,2.6428366
14.180452,1.1400822
24.140636,2.0210714
42.148155,2.4376307
19.749239,2.323501
38.110977,2.3404562
17.110952,1.8637724
30.662756,2.4663818
22.31924,2.2573032
23.902483,2.2170627
23.365335,2.1474297
61.988113,3.623942
26.148615,2.3345351
15.802745,1.5714517
22.635767,2.1684537
18.956968,1.4445102
34.203423,2.5099773
25.805971,1.899384
26.76807,2.2773557
16.179314,1.949615
32.25875,2.5909722
25.293528,1.7204657
27.928133,2.365688
19.166555,1.7042747
19.996262,1.907357
22.983442,1.8326323
35.03871,1.801018
25.89332,1.1860816
11.862356,1.020741
13.666508,1.1694027
28.374445,1.7256479
21.814104,1.9393513
20.15783,1.5330999
22.72508,2.432046
35.47815,1.8736093
20.0188,1.3942397
33.715763,2.1730323
11.574795,1.0381658
16.296986,1.8986189
17.963,1.5438957
20.14457,1.4697607
22.153349,2.4847693
48.763496,3.2128263
27.125957,1.6037705
30.099035,2.2692404
19.341692,1.2493896
34.072723,1.8862708
19.291079,1.6161487
22.570082,1.6976085
20.502394,2.0088284
30.718771,2.1142397
19.005886,1.645792
20.988506,2.09105
21.343225,1.2044802
8.348753,0.9913464
32.057793,1.7370136
26.314556,2.29385
24.483944,2.2606018
28.145824,2.3596115
27.308687,2.462573
12.055073,1.3883774
14.610991,0.89635724
12.140168,1.3249025
12.838089,1.1246474
37.5477,2.6325917
21.106634,0.9761489
17.34391,1.6897087
15.057819,1.9215968
23.023676,1.1414316
23.23692,2.1106539
14.549214,1.747798
12.9851055,1.5367541
37.61457,2.5861266
16.760508,1.5960877
27.838854,1.7396684
33.025894,2.247184
46.99099,2.6407144
15.434135,1.3394673
18.414389,2.1063395
22.681887,1.9219089
41.67199,2.6449666
20.328995,1.7418089
37.046963,2.7302275
18.149076,2.0370646
12.583372,1.4149995
8.512609,1.1254396
25.202303,1.8095064
25.3544,2.0987687
21.533817,1.5757775
38.429657,2.594884
25.930168,2.0700917
17.397116,1.7034149
17.225557,1.5222483
20.295738,1.6392424
27.260118,1.5707662
12.470142,1.3513796
14.569997,1.7982728
