grain_R,grain_asp
1.9348009,0.12244969
1.8099848,0.14371343
0.7287895,0.080432445
1.4469056,0.13949148
2.7593424,0.21307488
2.4888148,0.16538663
1.7372167,0.23142007
1.2925159,0.07297293
1.4219933,0.2029573
1.4183034,0.1946233
1.8491385,0.15900116
1.5964205,0.18373957
2.319788,0.098018676
1.6047722,0.2236848
1.8543924,0.1288574
2.2087374,0.073694386
0.52762395,0.07093609
0.9131947,0.07974869
1.1381619,0.07375256
1.5775135,0.23548163
1.6813043,0.12529416
0.7312464,0.12866427
0.9547816,0.20884205
1.5600536,0.21878996
1.2598356,0.00967359
1.8574053,0.12907292
1.1663196,0.12691835
0.7470385,0.067840144
0.4829301,0.047924317
1.4274744,0.17786257
1.174104,0.068441816
2.0286992,0.13918726
1.7784455,0.13468574
1.3671087,0.06722145
1.5510111,0.19701554
1.4312452,0.17237373
1.0705265,0.10314428
1.578004,0.08800641
1.0304601,0.07891389
0.70335495,0.17216322
1.5873256,0.044827435
1.5040411,0.14142312
1.436067,0.09402459
1.5151652,0.11157901
1.291099,-0.03510056
1.8364682,0.04193255
1.0145209,0.117260434
1.2515224,0.05171068
1.2746329,0.17564218
2.015767,0.26114106
0.72776777,-0.015990334
0.69111115,0.041935574
1.9724917,0.33994263
1.100855,-0.008717842
1.4958832,0.23053636
1.428782,0.15029098
1.9631722,0.19865201
2.1090271,0.2033694
1.2987862,0.11246725
0.9611264,0.124090455
1.2401075,0.12682156
1.6831145,0.04689272
1.5773667,0.13418244
1.5297635,0.11088362
1.5980756,0.13457899
0.8022102,-0.02525139
1.1084536,0.09774617
1.2494496,0.15325664
1.1234514,0.10630397
1.3752011,0.04428224
1.9221315,0.058351867
1.2268581,0.07993539
2.089408,0.117748804
1.7384431,0.2713961
1.6029474,0.08489622
1.0739534,0.13650109
2.4304404,0.23892228
0.7919081,0.074937545
1.6082416,0.1509124
2.217544,0.22210853
1.3669392,0.2165754
2.0575464,0.17612383
1.7959118,0.23757392
1.7647399,0.18029502
1.7171664,0.10640327
1.2589525,0.1965578
1.389822,0.022088027
1.5737549,0.17175889
1.3418481,0.12013758
0.9236739,0.12920327
1.6663408,0.19738317
1.014843,0.046507705
1.8781089,0.123112656
1.1644105,0.045437597
0.93734413,0.09483033
1.0010655,0.07992244
1.1723928,0.1518555
1.0722804,0.078555025
1.2414061,0.13019626
0.9124237,0.15110861
1.2172987,0.06830642
1.3252105,-0.017961146
2.2360115,0.15297502
0.8719841,0.017745338
3.1768565,0.3690288
2.0763593,0.26574358
1.5891204,0.1448897
0.76839083,-0.02882289
1.9311736,0.14076081
2.6111965,0.20278911
1.4819388,0.10299636
1.3483083,0.0307204
1.4151008,0.07199731
1.0271848,0.06161828
1.2647631,0.16273399
1.7371696,0.07109536
1.6981816,0.24956782
1.4294233,0.1467134
1.842174,0.25728995
1.1086538,0.06828544
